Loading Anaconda module
Activating Conda environment
Running the training script
file                 |  probability |  UnReL_shard |  Random_shard
-----------------------------------------------------------------
forget13.json        |        0.000 |           S1 |            S1
forget07.json        |        0.003 |           S1 |            S4
forget08.json        |        0.156 |           S1 |            S2
forget11.json        |        0.235 |           S1 |            S2
forget02.json        |        0.243 |           S1 |            S3
forget17.json        |        0.247 |           S2 |            S3
forget04.json        |        0.357 |           S2 |            S3
forget15.json        |        0.361 |           S2 |            S3
forget01.json        |        0.370 |           S2 |            S4
forget05.json        |        0.419 |           S2 |            S2
forget10.json        |        0.433 |           S3 |            S1
forget20.json        |        0.521 |           S3 |            S2
forget19.json        |        0.522 |           S3 |            S4
forget03.json        |        0.558 |           S3 |            S4
forget14.json        |        0.559 |           S3 |            S1
forget09.json        |        0.577 |           S4 |            S4
forget06.json        |        0.635 |           S4 |            S1
forget16.json        |        0.659 |           S4 |            S2
forget18.json        |        0.677 |           S4 |            S1
forget12.json        |        0.700 |           S4 |            S3
Job finished
